haskellPackages.air-extra                                    air-extra-2015.5.4
haskellPackages.air-spec                                     air-spec-2013.7.1
haskellPackages.air-th                                       air-th-2014.11.17
haskellPackages.airbrake                                     airbrake-0.2.0.0
haskellPackages.airship                                      airship-0.6.0
haskellPackages.airtable-api                                 airtable-api-0.3.2.4
haskellPackages.aivika                                       aivika-5.2
haskellPackages.aivika-branches                              aivika-branches-0.3
haskellPackages.aivika-distributed                           aivika-distributed-0.7.4
haskellPackages.aivika-experiment                            aivika-experiment-5.0
haskellPackages.aivika-experiment-cairo                      aivika-experiment-cairo-5.0
haskellPackages.aivika-experiment-chart                      aivika-experiment-chart-5.0
haskellPackages.aivika-experiment-diagrams                   aivika-experiment-diagrams-5.0
haskellPackages.aivika-gpss                                  aivika-gpss-0.3
haskellPackages.aivika-lattice                               aivika-lattice-0.3
haskellPackages.aivika-realtime                              aivika-realtime-0.3
haskellPackages.aivika-transformers                          aivika-transformers-5.2
haskellPackages.ajhc                                         ajhc-0.8.0.10
haskellPackages.al                                           al-0.1.4.1
haskellPackages.AlanDeniseEricLauren                         AlanDeniseEricLauren-0.1.0.1
haskellPackages.alarmclock                                   alarmclock-0.4.0.3
haskellPackages.alea                                         alea-0.5.3.0
haskellPackages.alerta                                       alerta-0.1.0.4
haskellPackages.alerts                                       alerts-0.1.0.0
haskellPackages.alex                                         alex-3.2.2
haskellPackages.alex-meta                                    alex-meta-0.3.0.9
haskellPackages.alex-tools                                   alex-tools-0.3
haskellPackages.alfred                                       alfred-0.5
haskellPackages.alga                                         alga-0.2.2
haskellPackages.algebra                                      algebra-4.3
haskellPackages.algebra-dag                                  algebra-dag-0.1.1.1
haskellPackages.algebra-sql                                  algebra-sql-0.3.0.0
haskellPackages.algebraic                                    algebraic-0.1.0.2
haskellPackages.algebraic-classes                            algebraic-classes-0.8
haskellPackages.algebraic-graphs                             algebraic-graphs-0.0.5
haskellPackages.algebraic-prelude                            algebraic-prelude-0.1.0.1
haskellPackages.algo-s                                       algo-s-0.1.0.0
haskellPackages.AlgorithmW                                   AlgorithmW-0.1.1.0
haskellPackages.align                                        align-0.1.1.2
haskellPackages.align-text                                   align-text-0.1.0.1
haskellPackages.aligned-foreignptr                           aligned-foreignptr-0.1
haskellPackages.AlignmentAlgorithms                          AlignmentAlgorithms-0.1.0.0
haskellPackages.allocated-processor                          allocated-processor-0.0.2
haskellPackages.alloy                                        alloy-1.2.2
haskellPackages.alloy-proxy-fd                               alloy-proxy-fd-1.0.0
haskellPackages.Allure                                       Allure-0.6.1.0
haskellPackages.almost-fix                                   almost-fix-0.0.2
haskellPackages.alms                                         alms-0.6.7
haskellPackages.alpha                                        alpha-1.0.15
haskellPackages.alphachar                                    alphachar-0.0.1
haskellPackages.alpino-tools                                 alpino-tools-0.2.0
haskellPackages.alsa                                         alsa-0.4
haskellPackages.alsa-core                                    alsa-core-0.5.0.1
haskellPackages.alsa-gui                                     alsa-gui-0.1
haskellPackages.alsa-midi                                    alsa-midi-0.4.0.1
